featureSelection,numberFeaturesSelection,featureReduction,numberFeaturesReduction,classifier,TP,TN,FP,FN,accuracy,precision,recall,fScore
featureSelectionKsTest,21,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,21,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,22,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,22,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,23,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,23,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,24,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,24,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,25,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,25,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,26,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,26,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,27,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,27,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,28,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,28,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,29,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,29,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,30,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,30,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,31,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,31,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,32,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,32,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,33,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,33,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,34,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,34,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,35,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,35,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,36,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,36,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,37,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,37,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,38,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,38,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,39,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,39,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,40,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,40,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,41,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,41,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,42,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,42,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,43,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,43,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,44,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,44,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,45,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,45,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
