seed,TP,TN,FP,FN,accuracy,precision,recall,fScore
0,40366,30029,255,89,0.995137053110731,0.9937224588267153,0.9978000247188233,0.995757067442893
1,40368,30028,256,87,0.9951511895842463,0.9936983064198504,0.9978494623655914,0.9957695580853242
2,40349,30031,253,106,0.9949250060080013,0.9937687798630609,0.9973798047212953,0.9955710179256573
3,40372,30024,260,83,0.9951511895842463,0.9936011025792478,0.9979483376591274,0.9957699754584582
4,40356,30070,214,99,0.9955752837897058,0.9947251663790978,0.9975528364849833,0.9961369947547053
5,40374,30073,211,81,0.9958721497335274,0.994801034865098,0.9979977753058954,0.9963968410661401
6,40365,30034,250,90,0.9951935990047923,0.9938446386802905,0.9977753058954394,0.9958060934994449
7,40367,30066,218,88,0.9956742391043131,0.9946285573487742,0.9978247435422074,0.9962240868706811
8,40360,30037,247,95,0.9951653260577616,0.9939173048981703,0.9976517117785193,0.9957810071303447
9,40361,30038,246,94,0.9951935990047923,0.9939419311941291,0.9976764306019034,0.9958056796032666
10,40367,30052,232,88,0.9954763284750986,0.994285573536294,0.9978247435422074,0.9960520147062453
11,40380,30031,253,75,0.995363236686976,0.9937735338271848,0.9981460882461994,0.9959550118389897
12,40359,30036,248,96,0.995137053110731,0.9938926786022114,0.9976269929551353,0.9957563346574227
13,40365,30017,267,90,0.9949532789550318,0.9934288245717661,0.9977753058954394,0.9955973213955381
14,40357,30056,228,98,0.9953915096340067,0.9943821608968831,0.9975775553083673,0.9959772951628826
15,40370,30039,245,85,0.9953349637399455,0.9939677459066847,0.9978989000123594,0.9959294436906377
16,40351,30015,269,104,0.9947270953787868,0.9933776464795667,0.9974292423680633,0.9953993216157878
17,40372,30063,221,83,0.9957025120513436,0.9945557115758875,0.9979483376591274,0.9962491363142829
18,40355,30064,220,100,0.9954763284750986,0.9945779420825631,0.9975281176615993,0.9960508453659138
19,40365,30047,237,90,0.9953773731604914,0.9941628491207329,0.9977753058954394,0.9959658018431474
20,40373,30012,272,82,0.9949956883755778,0.9933079099520237,0.9979730564825114,0.9956350184956844
21,40341,30011,273,114,0.9945291847495724,0.9932781799379524,0.9971820541342232,0.9952262887170188
22,40373,30036,248,82,0.9953349637399455,0.9938947834863741,0.9979730564825114,0.9959297449306823
23,40380,30043,241,75,0.9955328743691598,0.9940671081460328,0.9981460882461994,0.9961024224184716
24,40361,30031,253,94,0.9950946436901851,0.9937706209681391,0.9976764306019034,0.9957196955679729
25,40352,30033,251,103,0.9949956883755778,0.9938181907740807,0.9974539611914472,0.9956327567914333
26,40358,30083,201,97,0.9957873308924355,0.9950442565152001,0.9976022741317513,0.996321623423112
27,40368,30042,242,87,0.9953491002134608,0.9940408766313715,0.9978494623655914,0.9959415284031333
28,40362,30050,234,93,0.9953773731604914,0.9942358853088974,0.9977011494252873,0.9959655032016879
29,40357,30043,241,98,0.9952077354783075,0.99406374698261,0.9975775553083673,0.9958175514786621
