seed,TP,TN,FP,FN,accuracy,precision,recall,fScore
0,40353,30007,277,102,0.9946422765376949,0.9931823775535319,0.9974786800148313,0.9953258925818586
1,40352,30000,284,103,0.9945291847495724,0.9930111231420415,0.9974539611914472,0.9952275838255786
2,40353,30006,278,102,0.9946281400641795,0.9931579335974995,0.9974786800148313,0.9953136176405298
3,40353,29997,287,102,0.9945009118025417,0.9929379921259842,0.9974786800148313,0.9952031567914175
4,40356,30060,224,99,0.9954339190545527,0.9944800394282898,0.9975528364849833,0.9960140679953107
5,40355,30038,246,100,0.9951087801637004,0.9939410359350755,0.9975281176615993,0.9957313462297671
6,40366,30009,275,89,0.9948543236404247,0.9932334342166778,0.9978000247188233,0.9955114925520371
7,40358,30024,260,97,0.9949532789550318,0.9935988970407209,0.9976022741317513,0.9955965611239254
8,40343,30017,267,112,0.9946422765376949,0.9934252647131249,0.9972314917809912,0.995324739406649
9,40345,30012,272,110,0.994599867117149,0.9933032966491863,0.9972809294277593,0.9952881389382278
10,40363,30040,244,92,0.9952501448988536,0.9939911837860468,0.9977258682486714,0.9958550245491106
11,40346,30007,277,109,0.9945433212230876,0.9931812027669055,0.9973056482511432,0.9952391524211254
12,40366,30016,268,89,0.9949532789550318,0.9934045380715657,0.9978000247188233,0.9955974299843382
13,40355,29987,297,100,0.9943878200144192,0.9926940863918134,0.9975281176615993,0.9951052313610416
14,40346,30035,249,109,0.9949391424815166,0.9938662396846902,0.9973056482511432,0.9955829734731647
15,40362,30019,265,93,0.9949391424815166,0.9934772441972087,0.9977011494252873,0.995584716706544
16,40329,30003,281,126,0.994246455279266,0.9930805220389066,0.9968854282536151,0.9949793375686178
17,40358,30036,248,97,0.9951229166372156,0.9938925281978033,0.9976022741317513,0.9957439459172722
18,40347,30054,230,108,0.9952218719518229,0.9943317642999729,0.9973303670745273,0.9958288083720012
19,40339,30031,253,116,0.9947836412728481,0.993767244777296,0.9971326164874552,0.9954470862585907
20,40359,29989,295,96,0.9944726388555111,0.9927436414620947,0.9976269929551353,0.9951793265852125
21,40339,29993,291,116,0.994246455279266,0.992837804577898,0.9971326164874552,0.9949805759388296
22,40363,30019,265,92,0.9949532789550318,0.9934774047454957,0.9977258682486714,0.9955971042018672
23,40362,30017,267,93,0.9949108695344859,0.9934283393635088,0.9977011494252873,0.995560159834246
24,40360,29996,288,95,0.9945857306436336,0.9929147805550088,0.9976517117785193,0.9952776099527761
25,40348,30026,258,107,0.9948401871669094,0.9936462591735211,0.9973550858979112,0.9954972181443604
26,40357,30060,224,98,0.9954480555280679,0.994480175451566,0.9975775553083673,0.9960264573769683
27,40361,30011,273,94,0.9948119142198787,0.9932814884087218,0.9976764306019034,0.9954741086953841
28,40359,30048,236,96,0.9953066907929148,0.9941864761670156,0.9976269929551353,0.9959037631091918
29,40339,30012,272,116,0.9945150482760571,0.9933023072566546,0.9971326164874552,0.9952137764290825
