seed,TP,TN,FP,FN,accuracy,precision,recall,fScore
0,40340,29993,291,115,0.9942605917527814,0.9928379808520588,0.9971573353108392,0.9949929704264608
1,40354,29986,298,101,0.9943595470673886,0.9926694873560956,0.9975033988382153,0.9950805725769662
2,40346,29998,286,109,0.9944160929614498,0.9929612128371726,0.9973056482511432,0.9951286889390408
3,40353,29999,285,102,0.9945291847495724,0.9929868595895467,0.9974786800148313,0.9952277015278754
4,40364,30039,245,91,0.9952501448988536,0.9939668546381344,0.9977505870720553,0.9958551268133821
5,40349,30036,248,106,0.9949956883755778,0.9938911742246964,0.9973798047212953,0.9956324334994818
6,40365,29992,292,90,0.994599867117149,0.992817964926089,0.9977753058954394,0.9952904625702732
7,40354,30026,258,101,0.9949250060080013,0.99364719787255,0.9975033988382153,0.9955715642616602
8,40339,30008,276,116,0.9944585023819957,0.9932044811030407,0.9971326164874552,0.9951646725052424
9,40340,30003,281,115,0.9944019564879345,0.9930823958051255,0.9971573353108392,0.9951156939168188
10,40363,30039,245,92,0.9952360084253382,0.9939667060677699,0.9977258682486714,0.995842739597597
11,40347,30006,278,108,0.9945433212230876,0.993156923076923,0.9973303670745273,0.9952392698569315
12,40364,30015,269,91,0.9949108695344859,0.9933797652154652,0.9977505870720553,0.9955603788476717
13,40347,29980,304,108,0.9941757729116895,0.9925217091830459,0.9973303670745273,0.9949202278499741
14,40348,30024,260,107,0.9948119142198787,0.9935973207249803,0.9973550858979112,0.9954726570691931
15,40333,30005,279,122,0.9943312741203579,0.9931301093272924,0.9969843035471512,0.9950534742867011
16,40321,29995,289,134,0.994020271703021,0.9928835262250677,0.9966876776665431,0.9947819650897428
17,40345,30020,264,110,0.9947129589052714,0.993498978059051,0.9972809294277593,0.9953863613934669
18,40343,30034,250,112,0.9948825965874553,0.9938413026876555,0.9972314917809912,0.9955335110058237
19,40314,30023,261,141,0.9943171376468426,0.9935674676524954,0.996514645902855,0.9950388744909293
20,40352,29981,303,103,0.9942605917527814,0.9925470421842332,0.9974539611914472,0.9949944519787942
21,40324,29981,303,131,0.9938647704943525,0.9925419056292614,0.9967618341366951,0.9946473939962014
22,40349,30003,281,106,0.9945291847495724,0.9930839281319223,0.9973798047212953,0.9952272306838503
23,40358,30010,274,97,0.9947553683258175,0.9932565465642843,0.9976022741317513,0.995424667332618
24,40346,29982,302,109,0.9941899093852048,0.9925703601653217,0.9973056482511432,0.9949323699493237
25,40335,30022,262,120,0.994599867117149,0.9935463211567357,0.9970337411939192,0.9952869762621527
26,40347,30047,237,108,0.9951229166372156,0.9941602602010644,0.9973303670745273,0.9957427905082737
27,40359,30005,279,96,0.9946988224317562,0.9931345046508194,0.9976269929551353,0.995375679775073
28,40359,30030,254,96,0.9950522342696391,0.9937458449265014,0.9976269929551353,0.9956826367987368
29,40332,29994,290,123,0.9941616364381741,0.9928610112746787,0.9969595847237671,0.994906076939206
