seed,TP,TN,FP,FN,accuracy,precision,recall,fScore
0,40387,30108,176,68,0.9965507004622627,0.9956610704336464,0.9983191200098875,0.9969883235824137
1,40392,30102,182,63,0.9965365639887473,0.9955143688076108,0.9984427141268075,0.9969763911685939
2,40384,30104,180,71,0.9964517451476554,0.9955625677941031,0.9982449635397355,0.9969019612683445
3,40390,30083,201,65,0.9962396980449257,0.9950481633859722,0.9983932764800395,0.9967179132838141
4,40378,30122,162,77,0.9966213828298393,0.9960039467192896,0.9980966505994314,0.9970492005679363
5,40384,30114,170,71,0.9965931098828086,0.9958080583912807,0.9982449635397355,0.9970250219111457
6,40390,30087,197,65,0.996296243938987,0.9951462290881317,0.9983932764800395,0.9967671084129217
7,40376,30123,161,79,0.9966072463563239,0.9960283198065965,0.9980472129526634,0.9970367443698143
8,40394,30105,179,61,0.9966072463563239,0.9955881990486284,0.9984921517735755,0.9970380609172138
9,40379,30097,187,76,0.9962821074654716,0.9953902282699798,0.9981213694228155,0.9967539279939769
10,40389,30103,181,66,0.9965082910417168,0.9955385753019472,0.9983685576566556,0.9969515581610614
11,40372,30105,179,83,0.996296243938987,0.9955858055288402,0.9979483376591274,0.996765671678641
12,40394,30102,182,61,0.996564836935778,0.9955145899053628,0.9984921517735755,0.9970011477089016
13,40399,30097,187,56,0.996564836935778,0.9953924998768048,0.9986157458904956,0.9970015177502746
14,40391,30106,178,64,0.9965789734092934,0.9956124134191131,0.9984179953034236,0.9970132306477093
15,40393,30093,191,62,0.9964234722006249,0.995293711807609,0.9984674329501916,0.9968780463727341
16,40362,30086,198,93,0.9958862862070428,0.9951183431952663,0.9977011494252873,0.996408072579152
17,40369,30115,169,86,0.9963951992535942,0.995831072080517,0.9978741811889754,0.9968515797661527
18,40382,30116,168,73,0.9965931098828086,0.9958569667077681,0.9981955258929675,0.9970248750077155
19,40396,30112,172,59,0.9967344746179618,0.9957602050877539,0.9985415894203435,0.9971489577033682
20,40392,30073,211,63,0.9961266062568032,0.9948033396547054,0.9984427141268075,0.9966197044091885
21,40389,30093,191,66,0.9963669263065635,0.9952932479053721,0.9983685576566556,0.9968285308817177
22,40382,30092,192,73,0.9962538345184411,0.9952679055552817,0.9981955258929675,0.996729565957867
23,40401,30114,170,54,0.9968334299325691,0.9958098148924108,0.9986651835372636,0.9972354552859576
24,40378,30094,190,77,0.9962255615714104,0.9953165056201932,0.9980966505994314,0.9967046394233736
25,40383,30097,187,72,0.996338653359533,0.9953906827705201,0.9982202447163515,0.9968034557235421
26,40382,30115,169,73,0.9965789734092934,0.9958324085719218,0.9981955258929675,0.9970125669703479
27,40388,30100,184,67,0.9964517451476554,0.9954648526077098,0.9983438388332715,0.9969022671455194
28,40381,30114,170,74,0.9965507004622627,0.9958077482676136,0.9981708070695835,0.9969878774411772
29,40389,30094,190,66,0.9963810627800789,0.9953177752039232,0.9983685576566556,0.9968408322432559
