seed,TP,TN,FP,FN,accuracy,precision,recall,fScore
0,40361,30016,268,94,0.9948825965874553,0.9934037264023234,0.9976764306019034,0.9955354940555473
1,40366,30018,266,89,0.9949815519020625,0.9934534357156921,0.9978000247188233,0.9956219862616695
2,40347,30017,267,108,0.9946988224317562,0.9934259122470084,0.9973303670745273,0.9953743107723051
3,40362,30008,276,93,0.9947836412728481,0.9932083271814558,0.9977011494252873,0.9954496688986719
4,40359,30063,221,96,0.9955187378956446,0.9945539674716609,0.9976269929551353,0.9960881100758932
5,40364,30055,229,91,0.9954763284750986,0.9943586332618924,0.9977505870720553,0.9960517224360873
6,40365,30009,275,90,0.9948401871669094,0.9932332677165354,0.9977753058954394,0.9954991059868056
7,40368,30041,243,87,0.9953349637399455,0.9940163994976731,0.9978494623655914,0.9959292428391681
8,40349,30026,258,106,0.9948543236404247,0.9936464156426232,0.9973798047212953,0.9955096099282031
9,40354,30029,255,101,0.9949674154285472,0.9937206038070379,0.9975033988382153,0.9956084081713215
10,40359,30050,234,96,0.9953349637399455,0.9942354593156456,0.9976269929551353,0.995928338762215
11,40360,30018,266,95,0.9948967330609706,0.993452468862305,0.9976517117785193,0.9955476622143289
12,40365,30029,255,90,0.9951229166372156,0.9937223042836041,0.9977753058954394,0.9957446808510638
13,40364,29997,287,91,0.9946564130112102,0.9929399030774151,0.9977505870720553,0.9953394323477918
14,40354,30046,238,101,0.9952077354783075,0.9941367757193535,0.9975033988382153,0.9958172418473231
15,40362,30035,249,93,0.9951653260577616,0.9938686562753933,0.9977011494252873,0.9957812153060469
16,40335,30009,275,120,0.9944160929614498,0.9932282688992858,0.9970337411939192,0.995127366927774
17,40357,30058,226,98,0.9954197825810374,0.9944311657590617,0.9975775553083673,0.996001875663269
18,40352,30056,228,103,0.9953208272664301,0.994381468703795,0.9974539611914472,0.9959153452212007
19,40350,30045,239,105,0.995137053110731,0.9941117051417871,0.9974045235446792,0.9957553921326687
20,40372,30001,283,83,0.994826050693394,0.9930389865945148,0.9979483376591274,0.9954876094193071
21,40340,30000,284,115,0.9943595470673886,0.9930090586845215,0.9971573353108392,0.9950788736910914
22,40372,30027,257,83,0.9951935990047923,0.9936744689753624,0.9979483376591274,0.9958068176212324
23,40379,30031,253,76,0.9953491002134608,0.9937733805867297,0.9981213694228155,0.9959426295213782
24,40365,30005,279,90,0.9947836412728481,0.9931355181576617,0.9977753058954394,0.9954500055487737
25,40349,30027,257,106,0.9948684601139399,0.9936708860759493,0.9973798047212953,0.9955218909216516
26,40359,30068,216,96,0.9955894202632212,0.9946765249537893,0.9976269929551353,0.996149574231766
27,40367,30023,261,88,0.9950663707431544,0.9935758590134882,0.9978247435422074,0.9956957685334781
28,40362,30044,240,93,0.9952925543193994,0.9940889611349195,0.9977011494252873,0.995891779858618
29,40355,30027,257,100,0.9949532789550318,0.9936718211366099,0.9975281176615993,0.9955962352128487
