seed,TP,TN,FP,FN,accuracy,precision,recall,fScore
0,40303,29953,331,152,0.9931720832921019,0.9918541123197322,0.996242738845631,0.9940435817435164
1,40314,29947,337,141,0.9932427656596785,0.9917099210351529,0.996514645902855,0.9941064779424457
2,40317,29948,336,138,0.9932993115537398,0.9917349273116375,0.9965888023730071,0.9941559402278444
3,40337,29940,344,118,0.9934689492359237,0.9915439640126841,0.9970831788406872,0.9943058568329718
4,40312,29980,304,143,0.9936809963386534,0.9925152649202285,0.996465208256087,0.9944863144650985
5,40315,30009,275,140,0.9941333634911435,0.9932249322493225,0.996539364726239,0.9948793879943242
6,40320,29953,331,135,0.9934124033418623,0.9918575188802243,0.996662958843159,0.9942544324710872
7,40314,29992,292,141,0.9938789069678678,0.9928089444909619,0.996514645902855,0.9946583437164604
8,40312,29974,310,143,0.9935961774975615,0.9923686672246566,0.996465208256087,0.9944127187735116
9,40301,29945,339,154,0.9930307185569488,0.9916584645669292,0.996193301198863,0.9939207102780689
10,40305,29976,308,150,0.9935254951299849,0.9924162214069386,0.996292176492399,0.9943504218680613
11,40314,29954,330,141,0.9933417209742857,0.9918807204015353,0.996514645902855,0.9941922835053453
12,40313,29967,317,142,0.9935113586564696,0.9921978833374354,0.996489927079471,0.9943392736017759
13,40301,29926,358,154,0.9927621255601577,0.9911950613640277,0.996193301198863,0.993687896047538
14,40330,29973,311,125,0.9938364975473218,0.9923476292414065,0.9969101470769991,0.9946236559139785
15,40300,29961,323,155,0.9932427656596785,0.9920488393274746,0.9961685823754789,0.9941044426354868
16,40276,29942,342,179,0.99263489729852,0.9915800876458712,0.9955753306142627,0.9935736928447202
17,40301,29977,307,154,0.9934830857094389,0.9924399133175729,0.996193301198863,0.9943130651468611
18,40314,29977,307,141,0.993666859865138,0.9924423327835357,0.996514645902855,0.9944743203907445
19,40296,29989,295,159,0.9935820410240461,0.992732379098815,0.9960697070819429,0.9943982429731264
20,40321,29938,346,134,0.993214492712648,0.9914918730174342,0.9966876776665431,0.9940829861196716
21,40303,29918,366,152,0.9926773067190658,0.9910005163638151,0.996242738845631,0.993614713278438
22,40308,29947,337,147,0.9931579468185866,0.9917086972567352,0.996366332962551,0.9940320591861899
23,40336,29960,324,119,0.9937375422327146,0.9920314805705853,0.9970584600173031,0.9945386180114653
24,40297,29951,333,158,0.9930589915039795,0.9918040856509968,0.9960944259053269,0.9939446260097429
25,40316,29971,313,139,0.9936103139710768,0.9922961431489823,0.996564083549623,0.9944255340141088
26,40319,30002,282,136,0.9940909540705976,0.9930543582670378,0.9966382400197751,0.9948430714567706
27,40318,29946,338,137,0.9932851750802245,0.9916863439590712,0.996613521196391,0.9941438275942843
28,40323,29979,305,132,0.9938223610738065,0.9924928620655705,0.9967371153133111,0.994610460885759
29,40287,29955,329,168,0.9929741726628876,0.9918997439432736,0.9958472376714869,0.9938695711166755
