seed,TP,TN,FP,FN,accuracy,precision,recall,fScore
0,40304,29963,321,151,0.9933275845007704,0.9920984615384615,0.9962674576690149,0.9941785890478539
1,40305,29960,324,150,0.9932993115537398,0.9920254005759432,0.996292176492399,0.9941542104484239
2,40320,29962,322,135,0.9935396316035002,0.99207716155701,0.996662958843159,0.994364773049558
3,40332,29966,318,123,0.9937658151797453,0.9921771217712178,0.9969595847237671,0.9945626040318106
4,40323,30005,279,132,0.9941899093852048,0.9931284173193439,0.9967371153133111,0.9949294940597357
5,40315,30008,276,140,0.9941192270176282,0.9932004631568574,0.996539364726239,0.99486711250401
6,40320,29960,324,135,0.9935113586564696,0.9920283436669619,0.996662958843159,0.9943402508045722
7,40317,30007,277,138,0.9941333634911435,0.9931763314775582,0.9965888023730071,0.9948796407111747
8,40321,29977,307,134,0.9937658151797453,0.9924436349315743,0.9966876776665431,0.9945611287199536
9,40302,29962,322,153,0.9932851750802245,0.992073651043718,0.9962180200222469,0.9941415162989183
10,40312,30002,282,143,0.9939919987559903,0.9930531605656008,0.996465208256087,0.9947562585596368
11,40316,29964,320,139,0.9935113586564696,0.9921252091741313,0.996564083549623,0.994339692444291
12,40314,29961,323,141,0.993440676288893,0.9920515786106258,0.996514645902855,0.9942781038820105
13,40314,29941,343,141,0.9931579468185866,0.9915635683892072,0.996514645902855,0.994032942104744
14,40323,29987,297,132,0.9939354528619291,0.9926883308714919,0.9967371153133111,0.9947086031452359
15,40318,29966,318,137,0.9935679045505308,0.992174426616793,0.996613521196391,0.9943890197432514
16,40305,29963,321,150,0.9933417209742857,0.9920986560330822,0.996292176492399,0.9941909941909942
17,40301,29981,303,154,0.9935396316035002,0.9925376810166486,0.996193301198863,0.9943621312870872
18,40313,30005,279,142,0.9940485446500515,0.9931267244777296,0.996489927079471,0.9948054832381211
19,40307,30001,283,148,0.9939071799148984,0.9930278393693028,0.996341614139167,0.9946819668085631
20,40326,29958,326,129,0.9935679045505308,0.9919807143559972,0.9968112717834631,0.9943901266228562
21,40302,29937,347,153,0.9929317632423416,0.9914635046372604,0.9962180200222469,0.9938350759518643
22,40312,29977,307,143,0.9936385869181074,0.992441960658805,0.996465208256087,0.9944495152576658
23,40330,29968,316,125,0.9937658151797453,0.992225557250406,0.9969101470769991,0.9945623358528255
24,40295,29960,324,160,0.9931579468185866,0.9920234373076638,0.9960449882585589,0.9940301452993562
25,40317,29976,308,138,0.9936951328121687,0.9924184615384616,0.9965888023730071,0.9944992599901332
26,40325,30006,278,130,0.9942323188057507,0.9931532152796592,0.9967865529600791,0.9949665671494485
27,40322,29963,321,133,0.9935820410240461,0.9921019609772901,0.996712396489927,0.9944018348171348
28,40299,29998,286,156,0.9937516787062299,0.9929530614759148,0.9961438635520949,0.9945459032576506
29,40307,29977,307,148,0.9935679045505308,0.9924410301866351,0.996341614139167,0.9943874970703969
