seed,TP,TN,FP,FN,accuracy,precision,recall,fScore
0,40303,29955,329,152,0.9932003562391326,0.991902933648356,0.996242738845631,0.9940680996953889
1,40312,29938,346,143,0.99308726445101,0.9914899896699296,0.996465208256087,0.9939713732693897
2,40315,29939,345,140,0.9931438103450713,0.9915150024594196,0.996539364726239,0.9940208346175183
3,40333,29930,354,122,0.9932710386067092,0.9912994322510875,0.9969843035471512,0.9941337408493752
4,40313,29977,307,142,0.9936527233916227,0.9924421467257508,0.996489927079471,0.9944619179771816
5,40317,30009,275,138,0.9941616364381741,0.9932252660622782,0.9965888023730071,0.9949041913951164
6,40319,29936,348,136,0.9931579468185866,0.9914426930926795,0.9966382400197751,0.9940336776706689
7,40314,29980,304,141,0.993709269285684,0.9925156334629966,0.996514645902855,0.9945111196082543
8,40304,29965,319,151,0.9933558574478011,0.9921473057135121,0.9962674576690149,0.9942031130516293
9,40307,29943,341,148,0.99308726445101,0.9916109033654792,0.996341614139167,0.9939706299397063
10,40303,29977,307,152,0.9935113586564696,0.99244028564393,0.996242738845631,0.994337877012274
11,40309,29953,331,146,0.9932569021331938,0.99185531496063,0.996391051785935,0.994118009741661
12,40314,29971,313,141,0.9935820410240461,0.9922957639008542,0.996514645902855,0.9944007301250586
13,40298,29920,364,157,0.99263489729852,0.9910481530667453,0.9961191447287109,0.9935771786431944
14,40319,29972,312,136,0.993666859865138,0.9923211341094238,0.9966382400197751,0.9944750018498878
15,40298,29958,326,157,0.9931720832921019,0.9919751870815282,0.9961191447287109,0.9940428470997422
16,40272,29941,343,183,0.9925642149309434,0.9915548442693586,0.9954764553207267,0.9935117799432589
17,40296,29964,320,159,0.9932286291861632,0.9921213314949774,0.9960697070819429,0.9940915987221077
18,40314,29982,302,141,0.9937375422327146,0.9925645065983849,0.996514645902855,0.9945356539329724
19,40298,29981,303,157,0.9934972221829542,0.9925371296273491,0.9961191447287109,0.9943249111725228
20,40318,29944,340,137,0.9932569021331938,0.991637562103399,0.996613521196391,0.99411931502965
21,40296,29913,371,159,0.992507669036882,0.9908771239580003,0.9960697070819429,0.9934666305071373
22,40306,29935,349,149,0.9929600361893722,0.9914155700405854,0.9963168953157829,0.9938601898656146
23,40332,29955,329,123,0.9936103139710768,0.9919087085905413,0.9969595847237671,0.9944277331229351
24,40295,29955,329,160,0.99308726445101,0.9919013391098858,0.9960449882585589,0.9939688452003601
25,40320,29965,319,135,0.9935820410240461,0.9921503974015109,0.996662958843159,0.9944015586849828
26,40320,29999,285,135,0.9940626811235669,0.9929811599556705,0.996662958843159,0.9948186528497409
27,40317,29942,342,138,0.993214492712648,0.9915885781745739,0.9965888023730071,0.9940824025445669
28,40324,29974,310,131,0.9937658151797453,0.9923709209036767,0.9967618341366951,0.9945615311571236
29,40286,29961,323,169,0.9930448550304641,0.9920460981555813,0.9958225188481028,0.9939307214053094
