seed,TP,TN,FP,FN,accuracy,precision,recall,fScore
0,40368,30073,211,87,0.9957873308924355,0.9948002661475147,0.9978494623655914,0.9963225312831651
1,40367,30056,228,88,0.9955328743691598,0.9943835447715236,0.9978247435422074,0.9961011721159778
2,40360,30065,219,95,0.9955611473161905,0.9946031198403115,0.9976517117785193,0.9961250832983686
3,40385,30039,245,70,0.9955470108426752,0.9939699729264091,0.9982696823631195,0.9961151877659247
4,40357,30108,176,98,0.9961266062568032,0.995657859028446,0.9975775553083673,0.9966167827332444
5,40370,30089,195,85,0.9960417874157113,0.9951929002834956,0.9978989000123594,0.996544063194273
6,40366,30064,220,89,0.9956318296837671,0.9945794116197704,0.9978000247188233,0.9961871151639293
7,40364,30098,186,91,0.9960841968362573,0.9954130702836005,0.9977505870720553,0.9965804579964199
8,40362,30086,198,93,0.9958862862070428,0.9951183431952663,0.9977011494252873,0.996408072579152
9,40377,30052,232,78,0.9956176932102517,0.9942869807185599,0.9980719317760475,0.9961758610480608
10,40370,30067,217,85,0.9957307849983743,0.9946534604676375,0.9978989000123594,0.9962735371782533
11,40375,30076,208,80,0.9959286956275888,0.9948747012295789,0.9980224941292795,0.9964461117006836
12,40369,30075,209,86,0.9958297403129815,0.99484942579723,0.9978741811889754,0.9963595078548246
13,40383,30063,221,72,0.9958580132600121,0.9945571864840902,0.9982202447163515,0.9963853489433623
14,40373,30087,197,82,0.9960559238892266,0.9951441952181415,0.9979730564825114,0.9965566183276766
15,40369,30070,214,86,0.995759057945405,0.9947268560727398,0.9978741811889754,0.9962980330215454
16,40345,30060,224,110,0.9952784178458841,0.9944785427296704,0.9972809294277593,0.9958777646129542
17,40374,30080,204,81,0.9959711050481347,0.9949726452757652,0.9979977753058954,0.9964829143682203
18,40358,30105,179,97,0.9960983333097726,0.9955842810272097,0.9976022741317513,0.9965922560252864
19,40367,30079,205,88,0.9958580132600121,0.9949472542640244,0.9978247435422074,0.9963839214089131
20,40374,30053,231,81,0.9955894202632212,0.994311045437754,0.9979977753058954,0.9961509992598075
21,40359,30065,219,96,0.9955470108426752,0.9946029868401597,0.9976269929551353,0.996112694828033
22,40362,30066,218,93,0.9956035567367365,0.9946278955150321,0.9977011494252873,0.9961621521564756
23,40383,30072,212,72,0.99598524152165,0.9947776819805395,0.9982202447163515,0.9964959901295497
24,40363,30072,212,92,0.9957025120513436,0.9947751078250154,0.9977258682486714,0.9962483030976181
25,40355,30069,215,100,0.9955470108426752,0.99470051762386,0.9975281176615993,0.9961123110151188
26,40377,30120,164,78,0.9965789734092934,0.9959547125132582,0.9980719317760475,0.9970121981332412
27,40366,30075,209,89,0.9957873308924355,0.994849044978435,0.9978000247188233,0.9963223497470073
28,40367,30101,183,88,0.9961690156773492,0.9954870530209617,0.9978247435422074,0.9966545274983025
29,40360,30082,202,95,0.9958014673659509,0.9950199694295153,0.9976517117785193,0.9963341027191824
