seed,TP,TN,FP,FN,accuracy,precision,recall,fScore
0,40318,29979,305,137,0.9937516787062299,0.9924919380646432,0.996613521196391,0.994548459508128
1,40326,29970,314,129,0.9937375422327146,0.9922736220472441,0.9968112717834631,0.9945372711017942
2,40334,29987,297,121,0.9940909540705976,0.9926903103541631,0.9970090223705351,0.9948449794045828
3,40343,29984,300,112,0.9941757729116895,0.9926186551189626,0.9972314917809912,0.9949197267503515
4,40346,30015,269,109,0.9946564130112102,0.9933768312199927,0.9973056482511432,0.9953373627729123
5,40333,30022,262,122,0.9945715941701183,0.9935460032023649,0.9969843035471512,0.9952621838371376
6,40325,29968,316,130,0.9936951328121687,0.9922246007726188,0.9967865529600791,0.9945003452698037
7,40329,30014,270,126,0.9944019564879345,0.9933495898913767,0.9968854282536151,0.9951143681989785
8,40339,30006,278,116,0.9944302294349652,0.9931555752517419,0.9971326164874552,0.9951401223603711
9,40326,29991,293,129,0.9940344081765363,0.99278662694798,0.9968112717834631,0.9947948787527444
10,40338,30022,262,117,0.9946422765376949,0.9935467980295567,0.9971078976640712,0.9953241626056382
11,40345,29989,295,110,0.9942747282262967,0.9927411417322834,0.9972809294277593,0.9950058573278254
12,40339,29990,294,116,0.9942040458587201,0.9927645017596535,0.9971326164874552,0.9949437647987371
13,40333,29955,329,122,0.9936244504445921,0.9919089075795583,0.9969843035471512,0.9944401296892144
14,40329,30004,280,126,0.9942605917527814,0.9931049767292964,0.9968854282536151,0.9949916115661699
15,40332,29994,290,123,0.9941616364381741,0.9928610112746787,0.9969595847237671,0.994906076939206
16,40307,29974,310,148,0.9935254951299849,0.992367727798705,0.996341614139167,0.9943507006118019
17,40317,30008,276,138,0.9941474999646588,0.9932007981671717,0.9965888023730071,0.9948919159016879
18,40311,30008,276,144,0.9940626811235669,0.9931997930371794,0.996440489432703,0.9948175020359813
19,40307,30018,266,148,0.9941474999646588,0.9934439159046656,0.996341614139167,0.9948906550821938
20,40349,29960,324,106,0.9939213163884137,0.9920340274875225,0.9973798047212953,0.9946997337540676
21,40323,29962,322,132,0.9935820410240461,0.9920777463402632,0.9967371153133111,0.9944019728729963
22,40327,29990,294,128,0.9940344081765363,0.9927623642943305,0.9968359906068471,0.9947950071537817
23,40359,29988,296,96,0.9944585023819957,0.9927192227278318,0.9976269929551353,0.9951670570829737
24,40331,29979,305,124,0.9939354528619291,0.9924943399940939,0.9969348659003832,0.9947096471864942
25,40332,29985,299,123,0.9940344081765363,0.9926410868548645,0.9969595847237671,0.9947956490639568
26,40327,30029,255,128,0.9945857306436336,0.9937164260016756,0.9968359906068471,0.9952737638362723
27,40327,29985,299,128,0.9939637258089596,0.9926401811647714,0.9968359906068471,0.994733661400328
28,40343,30026,258,112,0.9947695047993328,0.9936454767123962,0.9972314917809912,0.9954352546387683
29,40329,29981,303,126,0.9939354528619291,0.9925428233904312,0.9968854282536151,0.9947093862148063
