combination,TP,TN,FP,FN,accuracy,precision,recall,fScore
1,6.925631221491074,11.193388853380755,11.193388853380753,6.9256312214910745,0.0001895910425206971,0.000275152900403648,0.00017119345498680096,0.0001654029390099646
2,8.815086336867996,11.937769675596284,11.937769675596284,8.815086336867992,0.0001945015126985451,0.00029279652081608216,0.0002178985622758163,0.00016963372979432475
3,9.331013669047646,15.735748889183768,15.735748889183771,9.331013669047646,0.00025432333836673685,0.0003859517139039541,0.00023065167887894688,0.0002216711250423067
4,8.908539103888877,17.955276495308798,17.955276495308794,8.908539103888877,0.0002615328843172533,0.0004401042242776025,0.00022020860471855217,0.00022776116587756352
5,10.104283830343345,21.247853170798596,21.2478531707986,10.104283830343343,0.00032981529934918044,0.0005207792873586121,0.00024976600742413233,0.00028721791692293676
6,9.85113331481241,20.569366800529195,20.569366800529192,9.851133314812408,0.00032288414359538857,0.0005038811933275455,0.00024350842454114936,0.00028112714122035105
7,9.08858068405484,18.406770368598043,18.40677036859804,9.088580684054838,0.0003007655816478385,0.0004508234233946294,0.0002246590207404366,0.0002618739472472535
8,9.473556663791534,19.821502314985825,19.821502314985825,9.473556663791534,0.0003118539453560507,0.0004850674169592533,0.0002341751739906402,0.00027140460825954944
9,9.202448449802063,20.307096319255987,20.30709631925599,9.202448449802063,0.0003293500885519067,0.0004969839980112076,0.0002274736979310751,0.000286618655446073
10,12.817911318725557,19.513744051220716,19.513744051220712,12.817911318725551,0.0003613222771298296,0.0004776270766842625,0.0003168436860394402,0.00031478228965489506
11,11.305781249218139,19.365332219046053,19.365332219046046,11.305781249218136,0.00033336069246241574,0.0004736673735884311,0.00027946560991764293,0.0002902233095507914
12,11.946432161080997,20.51859263395423,20.51859263395423,11.946432161080994,0.00033518203466470026,0.0005015065834130132,0.0002953017466587785,0.0002917089906274307
13,12.189547057674634,20.236787941936257,20.236787941936253,12.189547057674634,0.00034556094961160313,0.0004946923247418731,0.00030131126084970036,0.00030079529523396994
14,10.025771389475375,20.82132527498902,20.821325274989018,10.025771389475375,0.00032981947804363064,0.0005088814750148958,0.0002478252722648687,0.00028683062529600477
15,9.546077006126472,20.222014861468956,20.222014861468953,9.546077006126474,0.0003293385806364587,0.0004942990222141043,0.00023596779152456127,0.00028642786121610046
16,12.044410159570042,21.644993581113315,21.64499358111332,12.044410159570042,0.000356491866838424,0.0005287764768252791,0.0002977236474989532,0.0003101360518310151
17,13.340974821781286,21.93200044861756,21.93200044861756,13.340974821781288,0.0003638679637059705,0.0005356651412770334,0.00032977320039009157,0.0003166408803373932
18,12.943733228286865,21.452969143162235,21.452969143162242,12.943733228286863,0.00036081206676259563,0.0005239698033799184,0.00031995385559971016,0.00031398482656975313
19,13.174383014626985,21.45457644827118,21.454576448271187,13.174383014626985,0.00038067572333119737,0.0005243095112037289,0.0003256552469318204,0.00033136186515437616
20,13.15932430225633,22.284059557110048,22.284059557110048,13.15932430225633,0.0003937919175660789,0.0005444956217154263,0.00032528301328034833,0.00034272091659994506
