seed,TP,TN,FP,FN,accuracy,precision,recall,fScore
0,40364,30047,237,91,0.995363236686976,0.994162705352085,0.9977505870720553,0.9959534149230161
1,40360,30039,245,95,0.9951935990047923,0.9939662603127694,0.9976517117785193,0.9958055761164569
2,40345,30034,250,110,0.9949108695344859,0.9938416061091268,0.9972809294277593,0.9955582973473165
3,40386,30019,265,69,0.9952784178458841,0.9934810951760105,0.9982944011865035,0.9958819322861441
4,40361,30084,200,94,0.9958438767864969,0.9950691550997264,0.9976764306019034,0.9963710871926533
5,40373,30067,217,82,0.9957731944189202,0.9946538556294654,0.9979730564825114,0.9963106915910914
6,40371,30037,247,84,0.9953208272664301,0.9939189521886849,0.9979236188357434,0.9959172597535554
7,40360,30078,206,95,0.9957449214718896,0.9949218557412611,0.9976517117785193,0.9962849137877834
8,40369,30052,232,86,0.9955046014221293,0.9942858550282013,0.9978741811889754,0.9960767864192657
9,40364,30039,245,91,0.9952501448988536,0.9939668546381344,0.9977505870720553,0.9958551268133821
10,40370,30060,224,85,0.9956318296837671,0.994481943144307,0.9978989000123594,0.9961874915174771
11,40366,30049,235,89,0.9954197825810374,0.9942119652225314,0.9978000247188233,0.996002763521516
12,40351,30045,239,104,0.9951511895842463,0.9941118502094112,0.9974292423680633,0.9957677833302486
13,40368,30029,255,87,0.9951653260577616,0.9937227678901115,0.9978494623655914,0.995781839709909
14,40366,30073,211,89,0.995759057945405,0.9948000098578013,0.9978000247188233,0.9962977589100602
15,40360,30057,227,95,0.9954480555280679,0.9944070761573903,0.9976517117785193,0.996026751560919
16,40349,30029,255,106,0.9948967330609706,0.9937198305585656,0.9973798047212953,0.9955464538175897
17,40370,30074,210,85,0.9958297403129815,0.9948250369640217,0.9978989000123594,0.9963595977046955
18,40360,30077,207,95,0.9957307849983743,0.9948973303423966,0.9976517117785193,0.996272617313816
19,40369,30049,235,86,0.9954621920015833,0.9942123928676978,0.9978741811889754,0.9960399215386323
20,40374,30031,253,81,0.9952784178458841,0.9937726142712974,0.9979977753058954,0.9958807133519153
21,40348,30012,272,107,0.9946422765376949,0.9933037912358444,0.9973550858979112,0.9953253160653716
22,40366,30043,241,89,0.9953349637399455,0.9940650626739232,0.9978000247188233,0.9959290419678765
23,40385,30040,244,70,0.9955611473161905,0.9939944374707721,0.9982696823631195,0.9961274727443146
24,40356,30058,226,99,0.995405646107522,0.9944310285348184,0.9975528364849833,0.995989486284043
25,40347,30042,242,108,0.9950522342696391,0.9940377934908473,0.9973303670745273,0.9956813582745175
26,40363,30100,184,92,0.9960983333097726,0.995462056379017,0.9977258682486714,0.9965926767240315
27,40369,30049,235,86,0.9954621920015833,0.9942123928676978,0.9978741811889754,0.9960399215386323
28,40364,30076,208,91,0.9957731944189202,0.994873311643498,0.9977505870720553,0.9963098720179693
29,40357,30069,215,98,0.9955752837897058,0.9947007788622696,0.9975775553083673,0.9961370901057672
