seed,TP,TN,FP,FN,accuracy,precision,recall,fScore
0,40367,30042,242,88,0.9953349637399455,0.9940407298874634,0.9978247435422074,0.9959291424060002
1,40361,30053,231,94,0.995405646107522,0.9943092234923138,0.9976764306019034,0.9959899811220649
2,40351,30046,238,104,0.9951653260577616,0.9941363423587671,0.9974292423680633,0.9957800700853857
3,40384,30029,255,71,0.9953915096340067,0.9937252393021482,0.9982449635397355,0.9959799738574987
4,40360,30102,182,95,0.9960841968362573,0.9955108282768487,0.9976517117785193,0.9965801202513673
5,40377,30073,211,78,0.9959145591540735,0.9948014191386617,0.9980719317760475,0.9964339918314968
6,40367,30046,238,88,0.9953915096340067,0.9941386528752617,0.9978247435422074,0.9959782876881322
7,40362,30085,199,93,0.9958721497335274,0.9950938093242278,0.9977011494252873,0.996395773674336
8,40363,30081,203,92,0.9958297403129815,0.9949958092984272,0.9977258682486714,0.9963589686624456
9,40372,30048,236,83,0.9954904649486139,0.9941883372734437,0.9979483376591274,0.9960647891146392
10,40371,30071,213,84,0.9958014673659509,0.9947516262566529,0.9979236188357434,0.9963350979158183
11,40370,30074,210,85,0.9958297403129815,0.9948250369640217,0.9978989000123594,0.9963595977046955
12,40369,30055,229,86,0.9955470108426752,0.9943593280457166,0.9978741811889754,0.9961136540288453
13,40379,30045,239,76,0.9955470108426752,0.9941159092028165,0.9981213694228155,0.9961146127564047
14,40360,30072,212,95,0.9956601026307977,0.994774721482796,0.9976517117785193,0.9962111394967109
15,40365,30063,221,90,0.9956035567367365,0.9945547725816785,0.9977753058954394,0.9961624362976765
16,40343,30034,250,112,0.9948825965874553,0.9938413026876555,0.9972314917809912,0.9955335110058237
17,40368,30075,209,87,0.9958156038394662,0.9948492988638884,0.9978494623655914,0.9963471221245928
18,40358,30099,185,97,0.9960135144686807,0.9954369434920948,0.9976022741317513,0.9965184325538902
19,40375,30072,212,80,0.9958721497335274,0.9947766526227609,0.9980224941292795,0.9963969299869203
20,40373,30035,249,82,0.9953208272664301,0.9938703165772241,0.9979730564825114,0.9959174611788794
21,40351,30035,249,104,0.9950098248490932,0.9938669950738916,0.9974292423680633,0.9956449324532725
22,40363,30057,227,92,0.9954904649486139,0.9944074895294408,0.9977258682486714,0.9960639151088901
23,40382,30055,229,73,0.9957307849983743,0.9943611336829923,0.9981955258929675,0.9962746404164508
24,40360,30065,219,95,0.9955611473161905,0.9946031198403115,0.9976517117785193,0.9961250832983686
25,40342,30052,232,113,0.9951229166372156,0.9942820525459654,0.9972067729576072,0.9957422651149589
26,40367,30110,174,88,0.996296243938987,0.9957080486421154,0.9978247435422074,0.9967652723591288
27,40372,30058,226,83,0.9956318296837671,0.9944332233114932,0.9979483376591274,0.9961876796663911
28,40366,30095,189,89,0.9960700603627419,0.9953396621871532,0.9978000247188233,0.9965683248981607
29,40358,30073,211,97,0.9956459661572824,0.994798984446252,0.9976022741317513,0.9961986571879937
