seed,TP,TN,FP,FN,accuracy,precision,recall,fScore
0,40313,29969,315,142,0.9935396316035002,0.9922467263955892,0.996489927079471,0.994363800056732
1,40323,29963,321,132,0.9935961774975615,0.9921021552996753,0.9967371153133111,0.9944142344541856
2,40327,29978,306,128,0.9938647704943525,0.9924691753008639,0.9968359906068471,0.9946477900552486
3,40338,29978,306,117,0.994020271703021,0.9924712134632419,0.9971078976640712,0.9947841527022528
4,40335,30012,272,120,0.9944585023819957,0.9933016474991997,0.9970337411939192,0.9951641953072956
5,40333,30008,276,122,0.9943736835409039,0.9932034770617351,0.9969843035471512,0.9950902990229942
6,40323,29960,324,132,0.9935537680770155,0.9920289320245037,0.9967371153133111,0.9943774506177406
7,40323,30003,281,132,0.9941616364381741,0.993079499556694,0.9967371153133111,0.9949049457802341
8,40332,29981,303,123,0.993977862282475,0.9925433739387228,0.9969595847237671,0.9947465778764336
9,40307,29979,305,148,0.9935961774975615,0.9924899044617355,0.996341614139167,0.9944120295557995
10,40338,30013,271,117,0.9945150482760571,0.9933266024772833,0.9971078976640712,0.9952136583440244
11,40332,29986,298,123,0.9940485446500515,0.9926655180900812,0.9969595847237671,0.9948079176173151
12,40340,29989,295,115,0.9942040458587201,0.9927402485542021,0.9971573353108392,0.9949438895054877
13,40325,29944,340,130,0.9933558574478011,0.9916390015984262,0.9967865529600791,0.9942061143984221
14,40322,29996,288,133,0.9940485446500515,0.9929081507017976,0.996712396489927,0.9948066366496021
15,40322,29980,304,133,0.9938223610738065,0.9925171072712057,0.996712396489927,0.9946103279436613
16,40306,29966,318,149,0.993398266868347,0.9921721150059079,0.9963168953157829,0.9942401854980945
17,40314,30005,279,141,0.9940626811235669,0.9931268937994235,0.996514645902855,0.9948178856973645
18,40308,30011,273,147,0.9940626811235669,0.9932727138315961,0.996366332962551,0.9948171183177847
19,40308,30014,270,147,0.9941050905441129,0.9933461481591009,0.996366332962551,0.9948539483913961
20,40343,29963,321,112,0.9938789069678678,0.9921060397403109,0.9972314917809912,0.9946621629951059
21,40310,29953,331,145,0.9932710386067092,0.9918555153662557,0.996415770609319,0.9941304133372793
22,40313,29987,297,142,0.9937940881267759,0.9926865304112288,0.996489927079471,0.9945845926108678
23,40349,29977,307,106,0.9941616364381741,0.9924488390397481,0.9973798047212953,0.9949082122030304
24,40328,29968,316,127,0.9937375422327146,0.9922251746875308,0.9968607094302311,0.9945375405368747
25,40312,29976,308,143,0.9936244504445921,0.9924175283111768,0.996465208256087,0.9944372494603761
26,40324,30019,265,131,0.9944019564879345,0.9934711375003079,0.9967618341366951,0.9951137653620256
27,40338,29978,306,117,0.994020271703021,0.9924712134632419,0.9971078976640712,0.9947841527022528
28,40342,30010,274,113,0.9945291847495724,0.9932538900925744,0.9972067729576072,0.995226406483206
29,40321,29975,309,134,0.9937375422327146,0.9923947821806547,0.9966876776665431,0.9945365973977924
